,Judet,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
26,mh,FlorestiBranisteaLivezileBalaDumbravaVanatoriVanatoriBranisteaDumbravaCiresuFlorestiSisestiMunicipiul Drobeta-Turnu SeverinSimianOras Baia De AramaBrosteniObarsia-ClosaniMunicipiul OrsovaOras StrehaiaOras Vanju MareBalaLivezileBaltaBalacitaSalciaBaclesBalvanestiBreznita-MotruBreznita-OcolBrosteniBurila MareButoiestiCazanestiCiresuCorcovaGreciCorlatelCujmirDeveselDarvariDumbravaLivezileFlorestiGarla MareGodeanuGogosuGreciGrozestiGruiaVanatoriHinovaHusnicioaraEselnitaIlovatIlovitaIsvernaIzvoru BarziiJianaLivezileMalovatObarsia De CampOprisorPadinaPatuleleDubovaPodeniSalciaPonoareleVanatoriPoroina MarePristolPrunisorSimianPunghinaRogovaSalciaStangaceauaGogosuSvinitaSisestiPadinaSovarnaTamnaGrozestiVanatoriVanjuletVladaiaVoloiacBranisteaVrataBranistea,91713107.0,6848225.0,0.0,169125758.0,2538353.0,3588953.0
27,mm,BudestiMunicipiul Sighetu MarmatieiSarasauVadu IzeiOras Baia SprieOras BorsaOras CavnicOras Targu LapusOras Viseu De SusArdusatArinisAsuaju De SusBaita De Sub CodruBaiutBasestiBicazBistraReceaBarsanaBocicoiu MareBogdan VodaBoiu MareBotizaBudestiCalinestiCernestiCicarlauCampulung La TisaCopalnic-ManasturCoroieniCupseniDesestiOras DragomirestiDumbravitaFarcasaGiulestiIeudLapusLeordinaMiresu MareMoiseiOarta De JosSieuOcna SugatagPetrovaPoienile De Sub MunteRemetea ChioaruluiReceaRemetiRepedeaRona De JosRona De SusRozavleaRuscovaSatulungSacalaseniSacelOras Salistea De SusSalsigSapantaOras SeiniStramturaSuciu De SusSisestiOras Somcuta MareOras UlmeniValea ChioaruluiVima MicaViseu De JosBistraSacelCalinestiBudestiCalinestiSisestiOncestiPoienile IzeiSieuGrosii TiblesuluiCoasDumbravitaColtauGardaniOncestiFarcasaMunicipiul Baia MareGrosiReceaOras Tautii-MagherausDumbravita,13806197.0,7618313.0,2437610.0,138375125.0,5513033.0,2583621.0
28,ms,Oras LudusMunicipiul ReghinOras SovataMunicipiul TarnaveniAcatariAdamusAlunisApoldAtintisBahneaBandBatosBagaciuBalaAlunisBalauseriFantaneleBeica De JosBichisFantaneleBogataBreazaBrancovenestiCeuasu De CampieChetaniVanatoriChiheru De JosCoroisanmartinCozmaCraciunestiCraiestiCucerdeaCuciVanatoriDanesDedaEremituErneiGlodeniFantaneleFaragauFantaneleGalestiFantaneleSanpaulGanestiGheorghe DojaGhindariGlodeniGornestiGrebenisu De CampieSuseniGurghiuAlbestiViisoaraHodacHodosaIbanestiViisoaraIclanzelIdeciu De JosOras IernutLivezeniLuncaAlbestiLunca BraduluiIbanestiMagheraniGheorghe DojaMicaOras Miercurea NirajuluiAlbestiMihesu De CampieNadesBalaNeauaOgraPapiu IlarianSuseniPanetPasareniPeteleaPogaceauaCristestiRastolitaRaciuRusii-MuntiMadarasSaschizOras SarmasuOras Sangeorgiu De PadureBreazaSangerSanpaulSanpetru De CampieSolovastruStanceniSuplacSuseniIbanestiSauliaSincaiLuncaTaureniOras UngheniValea LargaLuncaVargataMadarasVatavaVetcaViisoaraVanatoriVoivodeniZagarZau De CampieLuncaChibedCoruncaSarateniMadarasBereniFantaneleMicaAlbestiAlunisCristestiVanatoriViisoaraVanatoriViisoaraViisoaraFantaneleMunicipiul Targu MuresRaciuCristestiSancraiu De MuresSangeorgiu De MuresBreazaSantana De MuresSarateniMunicipiul SighisoaraAlbesti,157901319.0,24684569.0,247755.0,195177898.0,59477100.0,29463870.0
29,nt,GrumazestiHanguIcusestiIon CreangaMargineniMoldoveniOniceniRuginoasaPastraveniPetricaniPiatra SoimuluiPipirigPangaratiSecuieniPodoleniPoienariPoiana TeiuluiCandestiRaucestiRazboieniRediuRomaniOras RoznovSagnaTrifestiSabaoaniSecuieniStanitaDraganestiStefan Cel MareFarcasaTarcauTascaTazlauTamaseniTimisestiTrifestiDragomirestiTupilatiTibucaniDraganestiUrecheniValea UrsuluiAlexandru Cel BunVanatori-NeamtZanestiDochiaStefan Cel MareRuginoasaGhindaoaniValeniDraganestiPancestiGadintiNegrestiBoghiceaStefan Cel MareValeniBrusturiRediuSecuieniMargineniStefan Cel MareStefan Cel MareDraganestiHoriaRediuHoriaMunicipiul Piatra-NeamtDumbrava RosieSavinestiMunicipiul RomanCordunHoriaOras BicazOras Targu NeamtStefan Cel MareAgapiaBahnaBotestiBaltatestiBicaz-CheiBicazu ArdeleanBiraBargauaniValeniBodestiBorcaBorlestiBotestiBozieniCandestiBotestiBrusturiCeahlauCandestiCostisaCracaoaniDamucDobreniDoljestiDragomirestiDulcestiPancestiDragomirestiFarcasaFaureiMoldoveniGheraestiGirovGarcinaGrinties,282653991.0,1149465.0,199140.0,154993662.0,40725398.0,85901471.0
30,ot,TesluiMihaestiSlatioaraStoenestiTraianStefan Cel MareValea MareStefan Cel MareVoineasaCorbuValeniMunicipiul SlatinaStoenestiSlatioaraOras BalsMunicipiul CaracalDraghiceniOras CorabiaGarcovIzvoareleStefan Cel MareOras Draganesti-OltBabiciuBaldovinestiValeniBarastiBarzaBobicestiMovileniBrastavatuBrebeniBrancoveniVulturestiBucinisuCezieniTraianCilieniCarloganiColonestiCorbuCoteanaCrampoiaCurtisoaraCungreaValea MareVulturestiVulturestiDaneasaDeveseluVisinaDobretuGradinariDobrosloveniDobroteasaDobrunFageteluPerietiFalcoiuFarcaseleCorbuGaneasaGiuvarastiGostavatuStefan Cel MareGradinariGrojdiboduIancaIancu JianuIcoanaStefan Cel MareIzbiceniIzvoareleLeleascaMarunteiMihaestiMilcovMorunglavMovileniGaneasaNicolae TitulescuObarsiaIzvoareleObogaOporeluOptasi-MaguraOrleaGradinariOsica De SusPerietiOras Piatra-OltBalteniParscoveniPlesoiuPoboruOras PotcoavaColonestiPriseacaRadomirestiIzvoareleRedeaIzvoareleRotundaRusanestiScarisoaraSchituOras ScornicestiSeacaSamburestiSpineniSprancenataStoenestiStoicanestiStrejestiStudinaSerbanestiStefan Cel MareTatulestiTesluiTia MareTopanaSchituSeacaTraianTufeniUrzicaValea MareBalteniVadastraVadastritaValeniVerguleasaVisinaIpotestiVitomirestiStoenestiValceleVladilaVoineasaScarisoaraVulpeniTraianVulturestiBalteniCaluiGavanestiGhimpeteniGradinileGura PadiniiIpotestiOsica De JosSarbii - MaguraMihaestiVisina NouaSoparlitaValceleTraianValea MareMovileni,762231933.0,4918501.0,47611.0,67703100.0,14305033.0,42482836.0
31,ph,Oras BreazaOras BusteniMunicipiul CampinaPoiana CampinaOras ComarnicOras MizilFlorestiOras PlopeniDumbravestiAlunisOras SinaiaOras SlanicOras UrlatiScorteniOras Valenii De MunteGura VitioareiAdunatiAlbesti-PaleologuAlunisApostolacheFantaneleAricestii RahtivaniAricestii ZeletinFantaneleBaba AnaDumbravaBalta DoamneiBaltestiBanestiBerteaBoldesti-GradisteaBrebuCalugareniCarbunestiCepturaDraganestiCerasuChiojdeancaCioraniCocorastii MisliiColceagCornuCosmineleDrajnaTomsaniDraganestiFantaneleDumbravaFilipestii De PadureFantaneleFilipestii De TargFantaneleDraganestiFlorestiFulgaGherghitaGorgotaManestiBrebuGornetGornet-CricovGura VaduluiIordacheanuIzvoareleBarcanestiJugureniBerceniLaposLipanestiMagureleMagureniManeciuManestiPacuretiOlariPlopuCalugareniPodenii NoiPoienarii BurchiiPosestiPredeal-SarariProvita De JosProvita De SusPuchenii MariRafovSalciaSalciileScorteniSecariaSangeruStarchiojdSuraniSirnaSoimariSotrileIzvoareleStefestiTaleaTataruTeisaniDraganestiTelegaTinosuTomsaniValea CalugareascaIzvoareleValea DoftaneiVarbilauDumbravaValcanestiCocorastii ColtOlariFlorestiVadu SapatBatraniIzvoareleIzvoareleFantaneleAlunisSalciaPaulestiSalciaPaulestiMunicipiul PloiestiFantaneleBarcanestiBerceniBlejoiBraziBucovPaulestiTargsoru VechiOras AzugaOras BaicoiOras Boldesti-Scaeni,279990327.0,25176437.0,899300.0,597085876.0,169065747.0,14719416.0
32,sb,RacovitaIacobeniCartaRacovitaRacovitaMihaileniMunicipiul SibiuCristianPoplacaRasinariSelimbarMunicipiul MediasTarnavaOras AgnitaOras CisnadieOras Copsa MicaOras DumbraveniOras Ocna SibiuluiAltinaApoldu De JosArpasu De JosAtelOras AvrigAxente SeverBaznaBiertanBarghisBlajelBrateiuBradeniBruiuChirparCartaCartisoaraDarlosGura RauluiHoghilagIacobeniMihaileniJinaLasleaLoamnesLudosMarpodOras Miercurea SibiuluiMerghindealMicasasaMihaileniMosnaNocrichOrlatPaucaPoiana SibiuluiPorumbacu De JosRacovitaRau SaduluiRosiaSaduOras SalisteRosiaSlimnicSeica MareSeica MicaSura MareSura MicaOras TalmaciuTiliscaTurnu RosuValea ViilorVurparAlmaBoitaMosnaCristian,48135446.0,16728083.0,1573462.0,82436202.0,71235934.0,3282220.0
33,sj,Municipiul ZalauOras Cehu SilvanieiOras JibouOras Simleu SilvanieiAgrijAlmasuBabeniBalanBanisorBenesatBobotaBocsaBuciumiCamarCarastelecChiesdCizerCoseiuCrasnaCreacaCristoltCriseniCuzaplacDobrinDraguBuciumiFildu De JosGalgauGarbouHalmasdHerecleanHidaHoroatu CrasneiIleandaIpLetcaLoznaMarcaMaeristeMesesenii De JosMirsidNapradeaNusfalauPericeiPlopisPoiana BlenchiiSagRomanasiRusSalatigSagSanmihaiu AlmasuluiSomes-OdorheiSurducSamsudSarmasagValcau De JosVarsoltZalhaZimborCrasnaLoznaTrezneaSimisnaBoghis,117272877.0,8374761.0,1111666.0,97246356.0,8118894.0,3445667.0
34,sm,Valea VinuluiVamaVetisViile Satu MarePetrestiVamaMunicipiul Satu MareMunicipiul CareiCapleniOras Negresti-OasOras TasnadAcasAndridApaOras ArdudBatarciBeltiugBerveniBixadBarsauBogdandBotizCalinesti-OasCamarzanaCauasCehalCertezeCraidoroltCrucisorCulciuDobaDoroltFoieniGherta MicaHalmeuHododHomoroadePaulestiLazuriOras LivadaMediesu AuritMiculaMoftinOdoreuOrasu NouPaulestiPetrestiPirPiscoltPomiSanislauCaminSantauSacaseniSaucaBixadSocondAgrisCiumestiSupurTarna MarePaulestiTerebestiPorumbestiTireamRacsaTarsoltTurtTurulungUrziceni,293908806.0,4353406.0,109294.0,243357487.0,61297330.0,296157515.0
35,sv,BunestiVamaCacicaCalafindestiOras CajvanaIlisestiCarlibabaSadovaCornu LunciiCruceaDarmanestiOras DolhascaDolhestiDorna-AriniDorna CandrenilorDornestiDragoiestiDraguseniDumbraveniScheiaFantaneleForastiFantaneleOras FrasinBreazaFratautii NoiTodirestiFratautii VechiFrumosuFundu MoldoveiGalanestiGramestiGranicestiHorodniceniHorodnic De JosIacobeniDarmanestiIzvoarele SuceveiOras LiteniMargineaMaliniManastirea HumoruluiMoaraDraguseniFantaneleMoldova-SulitaMoldovitaFantaneleMusenitaOstraFantanelePanaciPaltinoasaPartestii De JosPatrautiPoiana StampeiDraguseniAdancataPojorataPreutestiTodirestiPutnaRadaseniRascaSadovaSatu MareSiminiceaSlatinaStrajaStroiestiStulpicaniSucevitaCiocanestiSaru DorneiTodirestiUdestiVulturestiUlmaVadu MoldoveiValea MoldoveiVamaVatra MoldoviteiCiocanestiVerestiVicovu De JosOras Vicovu De SusVolovatVulturestiVulturestiZamosteaZvoristeaDumbraveniComanestiIaslovatCiocanestiSerbautiHorodnic De SusFantana MareCosnaCapu CampuluiHantestiBurlaBalaceanaHartopVoitinelCiprian PorumbescuBerchisestiPoieni-SolcaBaiaCruceaDraguseniSatu MareBreazaBunestiBogdanestiIacobeniDumbraveniFantaneleDolhestiMunicipiul SuceavaIpotestiBogdanestiMitocu DragomirneiOras SalceaScheiaMunicipiul Campulung MoldovenescMunicipiul FalticeniOras Gura HumoruluiVulturestiMunicipiul RadautiOras SiretOras SolcaIpotestiMunicipiul Vatra DorneiAdancataArboreBaiaFantaneleOras MilisautiBalcautiBilcaBogdanestiBoroaiaBosanciBotosanaBunestiBreazaBrodinaOras BrosteniDarmanesti,148814195.0,4304639.0,564814.0,85360902.0,206516334.0,7514616.0
36,tl,FrecateiIzvoareleDorobantuSmardanGrinduMihail KogalniceanuMunicipiul TulceaLuncavitaOras BabadagOras IsacceaOras MacinOras SulinaBaiaBeidaudC.a. RosettiCarcaliuCasimceaSfantu GheorgheCeatalchioiCeamurlia De JosCernaIzvoareleChilia VecheCiucurovaCrisanDaeniDorobantuFrecateiGreciGrinduHamcearcaMihail KogalniceanuC.a. RosettiHoriaIzvoareleJijilaJurilovcaLuncavitaMahmudiaMaliucMihai BravuOstrovMihail KogalniceanuMurighiolNalbantNiculitelNufaruGreciOstrovPardinaPeceneagaSarichioiSfantu GheorgheIzvoareleSlava CerchezaSmardanIzvoareleSomovaStejaruTopologMihai BravuTurcoaiaValea NucarilorI.c.bratianuVacareniBestepeValea TeilorHoriaHoriaStejaruBaia,827367847.0,50130079.0,1100.0,135332262.0,25828159.0,50270476.0
37,tm,BaraBeba VecheBecicherecu MicBelintBethausenBiledBarnaBogdaBoldurRacovitaBrestovatCarpinisCenadCeneiCheveresu MareOras CiacovaLivezileComlosu MareCosteiuCriciovaCurteaDarovaDentaDudestii VechiDumbravaOras FagetFardeaTomestiPadureniFoeniGavojdiaOras GataiaDumbravitaGhizelaGiarmataGieraGiulvazJamu MareJebelLenauheimLieblingLovrinMarginaDumbravaMaslocManastiurMoravitaMosnita NouaNadragNitchidorfOhaba LungaOrtisoaraPeciu NouPeriamPietroasaPischiaRacovitaOras RecasRacovitaRemetea MareSacosu TurcescSatchinezSacalazSecasSanandreiSanmihaiu RomanSanpetru MareSagStiucaTeremia MareTomestiTopolovatu MareSagTormacTraian VuiaUivarVariasVictor Vlad DelamarinaVoitegBirdaCheceaDudestii NoiFibisGhiladGottlobIecea MarePartaPadureniSaravaleSandraTomnaticValcaniLivezilePesacBucovatOtelecBucovatTomestiDumbravaLivezileTomestiPietroasaRacovitaLivezileMunicipiul TimisoaraDumbravitaGhirodaGirocMunicipiul LugojOras BuziasOras DetaOras JimboliaOras Sannicolau MareBalintBanlocDumbravita,1229421126.0,26536516.0,1018620.0,917741385.0,91789059.0,131022379.0
38,tr,LisaFantaneleCalinestiFantaneleDobrotestiContestiTraianPietrosaniFantaneleFantaneleFantaneleCosmestiFrumoasaViisoaraIzvoareleViisoaraSilisteaTraianLuncaVedeaMaguraSalciaMunicipiul Turnu MagureleCiuperceniIslazLitaMunicipiul AlexandriaNanovPoroschiaMunicipiul Rosiori De VedeOras VideleCrevenicuIzvoareleOras ZimniceaFrasinetBalaciBabaitaBlejestiBogdanaBotoroagaBragadiruMereniBranceniBujoreniBujoruBuzescuCalinestiIzvoareleCalmatuiuCalmatuiu De SusBujoreniCerveniaCiolanestiContestiCosmestiLuncaCrangeniCranguDidestiDobrotestiDracseneiLuncaDraganesti De VedeDraganesti-VlascaFurculestiViisoaraFrumoasaGalateniIzvoareleGratiaSilisteaIzvoareleLisaLuncaStejaruMavrodinMaguraMaldaeniMereniMarzanestiCiuperceniMosteniNastureluNecsestiSeacaFantaneleOlteniOrbeascaPeretuPiatraPietrosaniPloscaPlopii-SlavitestiPoeniVitanestiPutineiuMaguraPutineiuRadoiestiRasmirestiSalciaSaceniScrioasteaScurtu MareSeacaTraianSfintestiSegarcea-ValeSilisteaSilistea-GumestiSarbeniViisoaraSlobozia MandraCalinestiSmardioasaBogdanaStejaruSalciaSuhaiaStorobaneasaTalpaTatarastii De JosTatarastii De SusTraianTrivalea-MosteniTroianulTiganestiVedeaViisoaraViisoaraVartoapeZambreascaNenciulestiVedeaBeciuBeucaDraceaFantaneleTraianFrasinetPuraniSaeleleUda-ClocociovMereni,2577684499.0,3812823.0,631482.0,148409704.0,57104056.0,45429203.0
39,vl,BudestiBunestiPausesti-MaglasiPerisaniPopestiStanestiPesceanaPietrariPopestiPrundeniRacovitaRoestiRosiileSinestiRuncuSalatrucelMihaestiScunduSinestiBudestiSlatioaraStanestiStoenestiStoilestiStroestiSutestiSirineasaStefanestiSusaniPopestiTetoiuTomsaniCostestiVaideeniValea MareVladestiVoicestiVoineasaZatreniGradisteaTitestiDiculestiStoenestiLacusteniMitrofaniSlatioaraRacovitaRacovitaGolestiTitestiSutestiRuncuGradisteaVladestiValea MareMunicipiul Ramnicu ValceaOras Baile GovoraVladestiOras Baile OlanestiOras BrezoiOras CalimanestiMunicipiul DragasaniOras HorezuOras Ocnele MariDragoestiAlunuAmarastiOras BabeniOras BalcestiMihaestiBarbatestiOras BerbestiBujoreniTomsaniBerislavestiBoisoaraBudestiBujoreniNicolae BalcescuBarbatestiBunestiGradisteaCernisoaraCaineniCopaceniCostestiCreteniDaestiCostestiDaniceiDragoestiFaurestiFartatestiPopestiNicolae BalcescuFrancestiRacovitaGaliceaStoenestiGhioroiuGlavileGolestiGradisteaGusoeniIonestiSinestiLalosuValea MareIonestiLadestiPopestiLiveziLapusataStanestiLiveziStoenestiLungestiVoineasaMalaiaMateestiMaciucaNicolae BalcescuMadulariMaldarestiMihaestiCostestiCopaceniMilcoiuMuereascaValea MareNicolae BalcescuRuncuPietrariBunestiOlanuOrlestiOtesaniPausesti,163293014.0,4924841.0,40818.0,405269897.0,64466677.0,61091964.0
40,vn,PopestiVidraPopestiDumbraveniVanatoriUrechestiPopestiVanatoriMunicipiul FocsaniCampineancaGolestiMunicipiul AdjudOras MarasestiOras OdobestiOras PanciuAndreiasu De JosBalestiBarsestiBoghestiBolotestiBordestiBrosteniChiojdeniCiorastiCampuriCarligeleCorbitaNegrilestiCotestiDumbraveniDumitrestiFitionestiGaroafaBalestiGugestiGura CaliteiBrosteniHomoceaJaristeaJitiaMaicanestiMeraMilcovulMovilitaNanestiNarujaNerejuNistorestiPaltinPaunestiPoiana CristeiPufestiRacoasaReghiuRuginestiVanatoriSihleaSlobozia BraduluiSlobozia CiorastiSovejaStraoaneSuraiaDumbraveniVulturuTanasoaiaTataranuMovilitaPopestiTamboestiTulniciTifestiUrechestiValea SariiVidraGolestiVintileascaVizantea-LiveziVanatoriVartescoiuVrancioaiaVulturuNegrilestiPloscuteniPopestiPaulestiBiliestiGologanuObrejitaRastoacaSpulberVanatoriPaulestiNegrilestiVidraPaulesti,328707074.0,91326459.0,259092.0,377839620.0,32675580.0,20506924.0
41,vs,GagestiGherghestiGarceniGrivitaHoceniDimitrie CantemirIanaIvanestiIvestiLazaLipovatLunca BanuluiMalusteniMiclestiMuntenii De JosOras MurgeniOltenestiTodirestiOsestiPadureniPerieniPoienestiStefan Cel MarePoganaPuiestiPungestiDragomirestiRebriceaVoinestiCostestiRosiestiSolestiStanilestiStefan Cel MareValeniSuleteaDanestiTanacuTacutaTataraniTodirestiAlbestiTutovaViisoaraStefan Cel MareValeniGrivitaVetrisoaiaIbanestiViisoaraIvestiVindereiVoinestiTodirestiVulturestiVutcaniZapodeniZorleniAlbestiIbanestiTataraniFruntiseniRafailaPogonestiCiocaniCozmestiDodestiFerestiMuntenii De SusPochidiaPuscasiAlbestiGrivitaVulturestiVulturestiPadureniVoinestiStefan Cel MareDeleniStefan Cel MareBogdanaIbanestiBlagestiBogdanestiBalteniCostestiCostestiViisoaraMunicipiul BarladMunicipiul HusiOras NegrestiMunicipiul VasluiAlbestiDanestiStefan Cel MareAlexandru VlahutaCozmestiArsuraBotestiBancaBacaniDeleniBacestiBalteniDumestiBerezeniValeniViisoaraBlagestiBogdanaBogdanestiBotestiBogdanitaBotestiBunesti-AverestiVulturestiCodaestiBalteniCoroiestiViisoaraViisoaraCostestiCretestiDanestiDeleniDragomirestiDelestiBogdanestiDragomirestiPuiestiDranceniDuda-EpureniDumestiAlbestiEpureniFalciu,913294471.0,12915182.0,2888.0,124123575.0,167144874.0,17482705.0
